State,Homeowners Average premium,Homeowners Rank,Renters Average premium,Renters Rank,,,,,
Alabama,"$1,409 ",13,$222 ,5,,,,,
Alaska,984,36,175,22,,,,,
Arizona ,843,46,175,22,,,,,
Arkansas ,"1,419",12,211,7,,,,,
California (5),"1,073",31,178,21,,,,,
Colorado ,"1,616",7,164,29,,,,,
Connecticut ,"1,494",11,188,12,,,,,
Delaware,873,45,157,35,,,,,
D.C.,"1,264",21,157,35,,,,,
Florida ,"1,960",2,185,14,,,,,
Georgia ,"1,313",17,214,6,,,,,
Hawaii ,"1,140",27,181,19,,,,,
Idaho ,772,49,152,40,,,,,
Illinois ,"1,103",28,166,27,,,,,
Indiana ,"1,030",33,172,24,,,,,
Iowa ,987,35,144,47,,,,,
Kansas ,"1,617",6,172,24,,,,,
Kentucky ,"1,152",26,166,27,,,,,
Louisiana ,"1,987",1,234,3,,,,,
Maine ,905,42,149,42,,,,,
Maryland ,"1,071",32,161,30,,,,,
Massachusetts ,"1,543",10,191,9,,,,,
Michigan ,981,38,185,14,,,,,
Minnesota ,"1,400",14,140,49,,,,,
Mississippi ,"1,578",8,252,1,,,,,
Missouri ,"1,383",15,179,20,,,,,
Montana,"$1,237 ",22,$147 ,45,,,,,
Nebraska,"1,569",9,149,42,,,,,
Nevada,776,48,182,18,,,,,
New Hampshire,984,36,148,44,,,,,
New Jersey,"1,209",24,160,32,,,,,
New Mexico,"1,075",30,186,13,,,,,
New York,"1,321",16,189,10,,,,,
North Carolina,"1,103",28,158,34,,,,,
North Dakota,"1,293",18,126,51,,,,,
Ohio,874,44,169,26,,,,,
Oklahoma,"1,944",4,236,2,,,,,
Oregon,706,51,161,30,,,,,
Pennsylvania,943,40,157,35,,,,,
Rhode Island,"1,630",5,185,14,,,,,
South Carolina,"1,284",19,184,17,,,,,
South Dakota,"1,280",20,127,50,,,,,
Tennessee,"1,232",23,195,8,,,,,
Texas (6),"1,955",3,225,4,,,,,
Utah,730,50,155,38,,,,,
Vermont,935,41,153,39,,,,,
Virginia ,"1,026",34,152,40,,,,,
Washington,881,43,160,32,,,,,
West Virginia,970,39,189,10,,,,,
Wisconsin,814,47,143,48,,,,,
Wyoming,"1,187",25,146,46,,,,,
United States,"$1,249 ",,$179 ,,,,,,
