id,state,postal_code,product,user_id,square_ft,high_risk_dog,has_fire_alarm,has_burglar_alarm,portable_electronics,coast,fire_housing_proximity,previous_policies,user_age,card_type,target
2492008697672104938,NM,87043,ho4,-9160046293075786063,,0,true,true,0,,5,0,39.0,credit,false
886075317023782670,WI,53715,ho4,-8929003830875133003,,0,true,false,1,30,1,0,19.0,debit,false
5527292118261850881,WI,53211,ho4,-9015977226434470133,,0,true,false,1,1,1,0,20.0,debit,true
6453397743269682220,NM,88012,ho4,-9060026899039337265,,0,true,true,1,,1,0,33.0,debit,false
-8836394806705049849,AR,72116,ho4,-8801719090048493625,,0,false,false,1,,1,0,20.0,debit,false
2248669815880701912,WI,53593,ho4,-9008836729344443063,,0,false,false,1,30,3,1,23.0,credit,false
294015809810067632,RI,02871,ho4,-9066886574715380573,,0,true,false,1,0,4,0,40.0,credit,false
7789812989353637707,NM,87102,ho4,-9124429966396909586,,0,true,false,1,,1,0,58.0,debit,false
-8663673256371482122,RI,02908,ho4,-8959737638697722410,,0,false,false,1,10,2,2,19.0,debit,false
-7584616606548424017,IA,50131,ho4,-9203015100131659241,,0,true,true,1,,3,0,24.0,debit,false
-4603949136447710688,IA,52233,ho4,-8938775516579191909,,0,true,false,0,,3,2,21.0,credit,false
6813885447558225671,NM,87106,ho4,-9153271940334929480,,0,true,false,0,,1,0,22.0,debit,false
5143467626102481753,WI,53703,ho4,-9098718248504452669,,0,true,false,1,30,1,0,20.0,debit,false
4503954111106126010,IA,52807,ho4,-9215023732204267286,,0,true,false,1,,2,0,35.0,debit,false
6045281733321777951,CT,06119,ho4,-8995468160323432295,,0,false,false,1,30,2,0,31.0,credit,false
-2030313303431528449,IA,50014,ho4,-8809388738384645280,,0,false,false,0,,3,0,20.0,debit,false
-801596155822180990,IA,52246,ho4,-9029900292213073376,,0,false,false,,,2,0,,debit,false
-6537503289357309825,RI,02871,ho4,-9154230496280844067,,0,true,true,0,2,4,0,44.0,debit,false
7013205665738751347,NM,87102,ho4,-9124429966396909586,,0,true,false,1,,1,1,58.0,debit,false
4544395181085227785,RI,02911,ho4,-8840164622452350133,,0,true,false,0,15,1,0,39.0,debit,false
4933020316518810080,WI,53129,ho4,-9009207286247838001,,0,true,false,1,10,4,0,22.0,debit,false
-3621643510061984678,CT,06410,ho4,-9190975129056761798,,0,true,false,1,20,4,0,41.0,credit,false
1263611958942043954,NM,87111,ho4,-9045321258436901679,,0,true,false,1,,1,0,32.0,debit,false
3786373075587194246,WI,53593,ho4,-9008836729344443063,,0,false,false,1,30,3,0,23.0,credit,false
-6633259995120333401,RI,02864,ho4,-8828007017133799200,,0,true,false,1,15,3,0,33.0,credit,false
6361738532184859161,AR,72701,ho4,-8990779980857863704,,0,true,true,0,,1,0,19.0,credit,false
-2302728174979045899,NM,87507,ho4,-9146236731009429184,,0,true,false,0,,2,0,24.0,debit,false
-985595017910875482,IA,52246,ho4,-9147529974534068221,,0,true,false,1,,2,0,24.0,debit,false
2047395491866841687,WI,53703,ho4,-9184833262096854546,,0,true,false,0,30,1,0,20.0,debit,false
159453007811033418,IA,50014,ho4,-9103376272978075206,,0,true,false,0,,3,0,19.0,debit,false
-4751798960449611227,WI,53703,ho4,-8911730423807775375,,0,true,false,1,30,1,0,21.0,debit,false
8370114791671015593,RI,02903,ho4,-9166824567795938642,,0,true,false,1,10,2,0,23.0,debit,false
-1770245435884840337,NM,87544,ho4,-8871200397588933924,,0,true,false,1,,2,0,41.0,credit,false
-1171512490888154870,NM,87106,ho4,-8866032195635784312,,0,false,false,1,,1,1,23.0,debit,false
3204050186715918420,NM,87102,ho4,-8866032195635784312,,0,false,false,1,,1,0,23.0,debit,false
-8955073719039206598,CT,06902,ho4,-9031189102587793628,,0,true,false,1,0,3,0,51.0,debit,false
